Edad;Sexo;Poblacion;Fecha
0;1;244479;2022
1;1;259002;2022
2;1;283777;2022
3;1;315104;2022
4;1;335884;2022
5;1;345044;2022
6;1;357600;2022
7;1;373907;2022
8;1;374232;2022
9;1;365645;2022
10;1;364186;2022
11;1;366190;2022
12;1;365837;2022
13;1;365150;2022
14;1;356545;2022
15;1;348623;2022
16;1;353181;2022
17;1;359840;2022
18;1;358432;2022
19;1;354671;2022
20;1;355237;2022
21;1;353826;2022
22;1;353581;2022
23;1;353790;2022
24;1;353441;2022
25;1;353165;2022
26;1;352714;2022
27;1;352284;2022
28;1;352082;2022
29;1;352606;2022
30;1;352249;2022
31;1;349958;2022
32;1;346686;2022
33;1;342469;2022
34;1;337466;2022
35;1;332020;2022
36;1;327058;2022
37;1;321949;2022
38;1;317575;2022
39;1;317056;2022
40;1;320217;2022
41;1;324358;2022
42;1;328445;2022
43;1;330492;2022
44;1;326522;2022
45;1;316456;2022
46;1;304383;2022
47;1;292574;2022
48;1;281083;2022
49;1;271040;2022
50;1;262703;2022
51;1;254781;2022
52;1;246422;2022
53;1;238753;2022
54;1;233143;2022
55;1;229572;2022
56;1;226855;2022
57;1;224300;2022
58;1;221695;2022
59;1;218491;2022
60;1;214605;2022
61;1;210531;2022
62;1;206491;2022
63;1;202417;2022
64;1;198447;2022
65;1;194531;2022
66;1;190419;2022
67;1;185975;2022
68;1;180881;2022
69;1;175311;2022
70;1;169897;2022
71;1;164155;2022
72;1;159271;2022
73;1;154858;2022
74;1;148199;2022
75;1;139973;2022
76;1;131424;2022
77;1;122736;2022
78;1;115056;2022
79;1;108543;2022
80;1;101222;2022
81;1;93739;2022
82;1;87221;2022
83;1;80832;2022
84;1;74665;2022
85;1;68716;2022
86;1;62614;2022
87;1;56194;2022
88;1;51148;2022
89;1;46969;2022
90;1;41330;2022
91;1;35422;2022
92;1;29470;2022
93;1;23238;2022
94;1;17601;2022
95;1;12967;2022
96;1;9307;2022
97;1;6522;2022
98;1;4577;2022
99;1;3135;2022
100;1;5693;2022
0;2;255108;2022
1;2;270736;2022
2;2;295848;2022
3;2;329076;2022
4;2;351021;2022
5;2;362409;2022
6;2;378197;2022
7;2;395345;2022
8;2;396371;2022
9;2;388673;2022
10;2;387860;2022
11;2;388574;2022
12;2;386141;2022
13;2;384323;2022
14;2;378423;2022
15;2;372572;2022
16;2;373357;2022
17;2;375704;2022
18;2;372954;2022
19;2;368565;2022
20;2;368238;2022
21;2;365767;2022
22;2;364956;2022
23;2;364754;2022
24;2;363997;2022
25;2;363315;2022
26;2;362474;2022
27;2;361660;2022
28;2;361090;2022
29;2;361044;2022
30;2;359913;2022
31;2;356843;2022
32;2;352746;2022
33;2;347690;2022
34;2;341849;2022
35;2;335554;2022
36;2;329726;2022
37;2;323698;2022
38;2;318383;2022
39;2;317024;2022
40;2;319494;2022
41;2;322891;2022
42;2;326117;2022
43;2;327275;2022
44;2;322341;2022
45;2;311265;2022
46;2;298206;2022
47;2;285450;2022
48;2;273031;2022
49;2;262053;2022
50;2;252743;2022
51;2;243805;2022
52;2;234399;2022
53;2;225647;2022
54;2;218902;2022
55;2;214141;2022
56;2;210201;2022
57;2;206406;2022
58;2;202545;2022
59;2;198077;2022
60;2;192912;2022
61;2;187507;2022
62;2;182061;2022
63;2;176549;2022
64;2;171099;2022
65;2;165676;2022
66;2;160121;2022
67;2;154555;2022
68;2;148865;2022
69;2;142972;2022
70;2;137271;2022
71;2;131297;2022
72;2;125959;2022
73;2;120614;2022
74;2;112901;2022
75;2;103785;2022
76;2;94457;2022
77;2;85136;2022
78;2;76761;2022
79;2;69624;2022
80;2;62168;2022
81;2;54905;2022
82;2;48897;2022
83;2;43558;2022
84;2;38743;2022
85;2;34138;2022
86;2;29497;2022
87;2;24927;2022
88;2;21715;2022
89;2;19376;2022
90;2;16229;2022
91;2;13241;2022
92;2;10517;2022
93;2;7952;2022
94;2;5961;2022
95;2;4351;2022
96;2;3090;2022
97;2;2107;2022
98;2;1436;2022
99;2;936;2022
100;2;1618;2022
0;1;230491;2023
1;1;244318;2023
2;1;258905;2023
3;1;283715;2023
4;1;315066;2023
5;1;335877;2023
6;1;345060;2023
7;1;357628;2023
8;1;373944;2023
9;1;374272;2023
10;1;365685;2023
11;1;364229;2023
12;1;366248;2023
13;1;365928;2023
14;1;365294;2023
15;1;356756;2023
16;1;348891;2023
17;1;353463;2023
18;1;360073;2023
19;1;358560;2023
20;1;354677;2023
21;1;355114;2023
22;1;353549;2023
23;1;353119;2023
24;1;353128;2023
25;1;352561;2023
26;1;352090;2023
27;1;351520;2023
28;1;351082;2023
29;1;350956;2023
30;1;351583;2023
31;1;351314;2023
32;1;349107;2023
33;1;345895;2023
34;1;341721;2023
35;1;336769;2023
36;1;331381;2023
37;1;326454;2023
38;1;321350;2023
39;1;316959;2023
40;1;316410;2023
41;1;319544;2023
42;1;323660;2023
43;1;327730;2023
44;1;329766;2023
45;1;325787;2023
46;1;315709;2023
47;1;303625;2023
48;1;291801;2023
49;1;280290;2023
50;1;270223;2023
51;1;261857;2023
52;1;253900;2023
53;1;245501;2023
54;1;237784;2023
55;1;232116;2023
56;1;228476;2023
57;1;225672;2023
58;1;223009;2023
59;1;220279;2023
60;1;216934;2023
61;1;212895;2023
62;1;208660;2023
63;1;204453;2023
64;1;200211;2023
65;1;196070;2023
66;1;191982;2023
67;1;187698;2023
68;1;183081;2023
69;1;177810;2023
70;1;172053;2023
71;1;166445;2023
72;1;160508;2023
73;1;155432;2023
74;1;150831;2023
75;1;143974;2023
76;1;135561;2023
77;1;126825;2023
78;1;117953;2023
79;1;110093;2023
80;1;103396;2023
81;1;95891;2023
82;1;88241;2023
83;1;81580;2023
84;1;75071;2023
85;1;68807;2023
86;1;62658;2023
87;1;56486;2023
88;1;50081;2023
89;1;45088;2023
90;1;40903;2023
91;1;35451;2023
92;1;29934;2023
93;1;24457;2023
94;1;18929;2023
95;1;14073;2023
96;1;10177;2023
97;1;7141;2023
98;1;4893;2023
99;1;3358;2023
100;1;6113;2023
0;2;241132;2023
1;2;254897;2023
2;2;270622;2023
3;2;295777;2023
4;2;329036;2023
5;2;351006;2023
6;2;362409;2023
7;2;378210;2023
8;2;395365;2023
9;2;396389;2023
10;2;388678;2023
11;2;387848;2023
12;2;388548;2023
13;2;386110;2023
14;2;384296;2023
15;2;378399;2023
16;2;372531;2023
17;2;373264;2023
18;2;375522;2023
19;2;372658;2023
20;2;368160;2023
21;2;367731;2023
22;2;365143;2023
23;2;364190;2023
24;2;363831;2023
25;2;362904;2023
26;2;362068;2023
27;2;361123;2023
28;2;360278;2023
29;2;359734;2023
30;2;359730;2023
31;2;358643;2023
32;2;355633;2023
33;2;351611;2023
34;2;346636;2023
35;2;340885;2023
36;2;334674;2023
37;2;328897;2023
38;2;322874;2023
39;2;317527;2023
40;2;316119;2023
41;2;318540;2023
42;2;321888;2023
43;2;325073;2023
44;2;326203;2023
45;2;321243;2023
46;2;310141;2023
47;2;297054;2023
48;2;284265;2023
49;2;271801;2023
50;2;260767;2023
51;2;251387;2023
52;2;242365;2023
53;2;232864;2023
54;2;224007;2023
55;2;217150;2023
56;2;212270;2023
57;2;208202;2023
58;2;204261;2023
59;2;200234;2023
60;2;195581;2023
61;2;190208;2023
62;2;184578;2023
63;2;178894;2023
64;2;173136;2023
65;2;167437;2023
66;2;161769;2023
67;2;155979;2023
68;2;150192;2023
69;2;144298;2023
70;2;138220;2023
71;2;132354;2023
72;2;126237;2023
73;2;120782;2023
74;2;115346;2023
75;2;107567;2023
76;2;98407;2023
77;2;89054;2023
78;2;79730;2023
79;2;71381;2023
80;2;64318;2023
81;2;56954;2023
82;2;49831;2023
83;2;44007;2023
84;2;38884;2023
85;2;34299;2023
86;2;29902;2023
87;2;25499;2023
88;2;21225;2023
89;2;18314;2023
90;2;16165;2023
91;2;13313;2023
92;2;10731;2023
93;2;8357;2023
94;2;6219;2023
95;2;4574;2023
96;2;3288;2023
97;2;2282;2023
98;2;1529;2023
99;2;1020;2023
100;2;1730;2023
0;1;221119;2024
1;1;230381;2024
2;1;244258;2024
3;1;258873;2024
4;1;283705;2024
5;1;315079;2024
6;1;335909;2024
7;1;345109;2024
8;1;357686;2024
9;1;374005;2024
10;1;374335;2024
11;1;365751;2024
12;1;364310;2024
13;1;366359;2024
14;1;366088;2024
15;1;365518;2024
16;1;357034;2024
17;1;349186;2024
18;1;353714;2024
