municipio_id,municipio_nombre,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,
06,Total,15625084,15909607,16100618,16289599,16476149,16659931,16841135,17020012,17196396,17370144,17541141,17709598,17523996,18039509,18200851,18359753,,,,,,,,0,,,,,,,,
06007,Adolfo Alsina,17072,17249,17276,17303,17330,17356,17382,17407,17433,17458,17483,17507,17552,17556,17580,17603,,,,,,,,,,,,,,,,
06014,Adolfo Gonzales Chaves,12047,12142,12116,12091,12065,12040,12016,11992,11968,11944,11922,11899,12914,11855,11832,11811,,,,,,,,,,,,,,,,
06021,Alberti,10654,10773,10799,10824,10850,10875,10900,10924,10948,10972,10995,11018,12982,11064,11085,11107,,,,,,,,,,,,,,,,
06028,Almirante Brown,552902,561349,565509,569911,574263,578513,582541,586564,590418,594270,597969,601618,584827,608878,612438,616000,,,,,,,,,,,,,,,,
06077,Arrecifes,29044,29473,29690,29905,30117,30326,30532,30735,30936,31133,31328,31520,32215,31895,32078,32259,,,,,,,,,,,,,,,,
06035,Avellaneda,342677,346847,347924,348999,350080,351165,352246,353273,354314,355352,356392,357440,367554,359550,360583,361532,,,,,,,,,,,,,,,,
06042,Ayacucho,20337,20588,20671,20752,20832,20911,20990,21067,21143,21218,21291,21364,21977,21506,21577,21645,,,,,,,,,,,,,,,,
06049,Azul,65280,66029,66221,66411,66598,66782,66965,67144,67321,67495,67667,67835,75905,68167,68329,68487,,,,,,,,,,,,,,,,
06056,Bahía Blanca,301572,304829,305445,306056,306657,307250,307836,308413,308982,309544,310095,310639,336557,311704,312224,312738,,,,,,,,,,,,,,,,
06063,Balcarce,43823,44349,44506,44662,44816,44966,45116,45262,45408,45551,45691,45829,48982,46102,46234,46365,,,,,,,,,,,,,,,,
06070,Baradero,32761,33325,33677,34027,34371,34710,35045,35375,35701,36022,36338,36649,40002,37258,37556,37849,,,,,,,,,,,,,,,,
06084,Benito Juárez,20239,20440,20450,20461,20472,20482,20493,20503,20513,20523,20532,20542,22292,20561,20570,20579,,,,,,,,,,,,,,,,
06091,Berazategui,324244,330277,334458,338647,342682,346658,350578,354447,358262,362021,365771,369294,358712,376431,379921,383458,,,,,,,,,,,,,,,,
06098,Berisso,88470,89877,90675,91466,92246,93015,93773,94522,95259,95987,96701,97406,100930,98786,99461,100126,,,,,,,,,,,,,,,,
06105,Bolívar,34190,34626,34783,34939,35092,35244,35393,35540,35684,35828,35969,36108,37594,36378,36512,36642,,,,,,,,,,,,,,,,
06112,Bragado,41336,41756,41801,41846,41891,41935,41978,42020,42062,42103,42144,42184,46504,42262,42301,42338,,,,,,,,,,,,,,,,
06119,Brandsen,26367,26960,27436,27906,28371,28828,29279,29725,30164,30597,31023,31442,32448,32263,32665,33061,,,,,,,,,,,,,,,,
06126,Campana,94461,96152,97252,98340,99415,100474,101518,102549,103565,104566,105552,106522,110566,108423,109352,110268,,,,,,,,,,,,,,,,
06134,Cañuelas,51892,53205,54342,55468,56579,57673,58752,59817,60867,61903,62921,63923,70684,65888,66849,67795,,,,,,,,,,,,,,,,
06140,Capitán Sarmiento,14494,14767,14957,15144,15329,15512,15692,15869,16044,16216,16387,16553,15965,16881,17041,17198,,,,,,,,,,,,,,,,
06147,Carlos Casares,22237,22544,22680,22815,22947,23078,23206,23334,23459,23583,23704,23824,23100,24059,24173,24286,,,,,,,,,,,,,,,,
06154,Carlos Tejedor,11570,11679,11678,11677,11676,11675,11674,11673,11672,11671,11671,11669,14079,11667,11667,11665,,,,,,,,,,,,,,,,
06161,Carmen de Areco,14692,14888,14967,15044,15121,15197,15271,15345,15418,15489,15560,15629,17499,15765,15831,15896,,,,,,,,,,,,,,,,
06168,Castelli,8205,8312,8354,8396,8437,8478,8517,8556,8595,8633,8671,8708,9594,8781,8816,8851,,,,,,,,,,,,,,,,
06210,Chacabuco,48703,49431,49806,50179,50546,50907,51263,51615,51962,52304,52640,52971,52729,53620,53937,54249,,,,,,,,,,,,,,,,
06218,Chascomús,42277,37249.99587,37622.40442,37991.42744,38356.20473,38714.21096,39067.99908,39416.68129,39760.31282,40099.69862,40434.00612,40761.54256,42452,41405.62626,41719.62057,42030.22935,,,,,,,,,,,,,,,,
06224,Chivilcoy,64185,65066,65458,65845,66228,66605,66976,67343,67705,68062,68412,68758,70839,69435,69766,70091,,,,,,,,,,,,,,,,
