anio,mes,zona,municipio_id,municipio_nombre,delegacion,cantidad
2018,1,19,6007,Adolfo Alsina,Carhué,10
2018,2,19,6007,Adolfo Alsina,Carhué,6
2018,3,19,6007,Adolfo Alsina,Carhué,4
2018,4,19,6007,Adolfo Alsina,Carhué,8
2018,5,19,6007,Adolfo Alsina,Carhué,8
2018,6,19,6007,Adolfo Alsina,Carhué,8
2018,7,19,6007,Adolfo Alsina,Carhué,15
2018,8,19,6007,Adolfo Alsina,Carhué,15
2018,9,19,6007,Adolfo Alsina,Carhué,11
2018,10,19,6007,Adolfo Alsina,Carhué,11
2018,11,19,6007,Adolfo Alsina,Carhué,11
2018,12,19,6007,Adolfo Alsina,Carhué,13
2018,5,19,6007,Adolfo Alsina,Rivera,2
2018,6,19,6007,Adolfo Alsina,Rivera,2
2018,7,19,6007,Adolfo Alsina,Rivera,2
2018,8,19,6007,Adolfo Alsina,Rivera,6
2018,9,19,6007,Adolfo Alsina,Rivera,3
2018,11,19,6007,Adolfo Alsina,Rivera,1
2018,12,19,6007,Adolfo Alsina,Rivera,1
2018,1,19,6007,Adolfo Alsina,Villa Maza,2
2018,6,19,6007,Adolfo Alsina,Villa Maza,2
2018,8,19,6007,Adolfo Alsina,Villa Maza,1
2018,9,19,6007,Adolfo Alsina,Villa Maza,1
2018,11,19,6007,Adolfo Alsina,Villa Maza,1
2018,1,5,6021,Alberti,Alberti,4
2018,2,5,6021,Alberti,Alberti,7
2018,3,5,6021,Alberti,Alberti,9
2018,4,5,6021,Alberti,Alberti,3
2018,5,5,6021,Alberti,Alberti,4
2018,6,5,6021,Alberti,Alberti,10
2018,7,5,6021,Alberti,Alberti,12
2018,8,5,6021,Alberti,Alberti,12
2018,9,5,6021,Alberti,Alberti,11
2018,10,5,6021,Alberti,Alberti,7
2018,11,5,6021,Alberti,Alberti,6
2018,12,5,6021,Alberti,Alberti,7
2018,1,18,6028,Almirante Brown,Adrogué,364
2018,2,18,6028,Almirante Brown,Adrogué,287
2018,3,18,6028,Almirante Brown,Adrogué,362
2018,4,18,6028,Almirante Brown,Adrogué,344
2018,5,18,6028,Almirante Brown,Adrogué,341
2018,6,18,6028,Almirante Brown,Adrogué,422
2018,7,18,6028,Almirante Brown,Adrogué,422
2018,8,18,6028,Almirante Brown,Adrogué,567
2018,9,18,6028,Almirante Brown,Adrogué,415
2018,10,18,6028,Almirante Brown,Adrogué,355
2018,11,18,6028,Almirante Brown,Adrogué,349
2018,12,18,6028,Almirante Brown,Adrogué,333
2018,5,18,6028,Almirante Brown,Barrio San José,12
2018,1,1,6077,Arrecifes,Arrecifes,13
2018,2,1,6077,Arrecifes,Arrecifes,21
2018,3,1,6077,Arrecifes,Arrecifes,23
2018,4,1,6077,Arrecifes,Arrecifes,20
2018,5,1,6077,Arrecifes,Arrecifes,29
2018,6,1,6077,Arrecifes,Arrecifes,28
2018,7,1,6077,Arrecifes,Arrecifes,28
2018,8,1,6077,Arrecifes,Arrecifes,28
2018,9,1,6077,Arrecifes,Arrecifes,26
2018,10,1,6077,Arrecifes,Arrecifes,30
2018,11,1,6077,Arrecifes,Arrecifes,20
2018,12,1,6077,Arrecifes,Arrecifes,17
2018,1,21,6035,Avellaneda,Avellaneda,583
2018,2,21,6035,Avellaneda,Avellaneda,310
2018,3,21,6035,Avellaneda,Avellaneda,311
2018,4,21,6035,Avellaneda,Avellaneda,330
2018,5,21,6035,Avellaneda,Avellaneda,381
2018,6,21,6035,Avellaneda,Avellaneda,386
2018,7,21,6035,Avellaneda,Avellaneda,476
2018,8,21,6035,Avellaneda,Avellaneda,514
2018,9,21,6035,Avellaneda,Avellaneda,448
2018,10,21,6035,Avellaneda,Avellaneda,393
2018,11,21,6035,Avellaneda,Avellaneda,381
2018,12,21,6035,Avellaneda,Avellaneda,377
2018,6,21,6035,Avellaneda,Hospital Ana Goitia - Avellaneda,2
2018,1,11,6042,Ayacucho,Ayacucho,17
2018,2,11,6042,Ayacucho,Ayacucho,16
2018,3,11,6042,Ayacucho,Ayacucho,11
2018,4,11,6042,Ayacucho,Ayacucho,10
2018,5,11,6042,Ayacucho,Ayacucho,14
2018,6,11,6042,Ayacucho,Ayacucho,18
2018,7,11,6042,Ayacucho,Ayacucho,31
2018,8,11,6042,Ayacucho,Ayacucho,19
2018,9,11,6042,Ayacucho,Ayacucho,16
2018,10,11,6042,Ayacucho,Ayacucho,9
2018,11,11,6042,Ayacucho,Ayacucho,12
2018,12,11,6042,Ayacucho,Ayacucho,13
2018,1,9,6049,Azul,Azul,55
2018,2,9,6049,Azul,Azul,48
2018,3,9,6049,Azul,Azul,41
2018,4,9,6049,Azul,Azul,52
2018,5,9,6049,Azul,Azul,56
2018,6,9,6049,Azul,Azul,53
2018,7,9,6049,Azul,Azul,68
2018,8,9,6049,Azul,Azul,66
2018,9,9,6049,Azul,Azul,58
2018,10,9,6049,Azul,Azul,61
2018,11,9,6049,Azul,Azul,37
2018,12,9,6049,Azul,Azul,60
2018,1,9,6049,Azul,Cacharí,5
2018,4,9,6049,Azul,Cacharí,4
2018,5,9,6049,Azul,Cacharí,2
2018,6,9,6049,Azul,Cacharí,3
2018,7,9,6049,Azul,Cacharí,3
2018,8,9,6049,Azul,Cacharí,1
2018,9,9,6049,Azul,Cacharí,7
2018,10,9,6049,Azul,Cacharí,3
2018,11,9,6049,Azul,Cacharí,2
2018,1,9,6049,Azul,Chillar,2
2018,4,9,6049,Azul,Chillar,2
2018,5,9,6049,Azul,Chillar,3
2018,6,9,6049,Azul,Chillar,3
2018,7,9,6049,Azul,Chillar,4
2018,8,9,6049,Azul,Chillar,2
2018,9,9,6049,Azul,Chillar,3
2018,11,9,6049,Azul,Chillar,3
2018,12,9,6049,Azul,Chillar,6
2018,1,16,6056,Bahía Blanca,Bahía Blanca,240
2018,2,16,6056,Bahía Blanca,Bahía Blanca,221
2018,3,16,6056,Bahía Blanca,Bahía Blanca,239
2018,4,16,6056,Bahía Blanca,Bahía Blanca,237
2018,5,16,6056,Bahía Blanca,Bahía Blanca,238
2018,6,16,6056,Bahía Blanca,Bahía Blanca,276
2018,7,16,6056,Bahía Blanca,Bahía Blanca,310
2018,8,16,6056,Bahía Blanca,Bahía Blanca,341
2018,9,16,6056,Bahía Blanca,Bahía Blanca,345
2018,10,16,6056,Bahía Blanca,Bahía Blanca,290
2018,11,16,6056,Bahía Blanca,Bahía Blanca,265
2018,12,16,6056,Bahía Blanca,Bahía Blanca,258
2018,1,16,6056,Bahía Blanca,Cabildo,2
2018,2,16,6056,Bahía Blanca,Cabildo,1
2018,3,16,6056,Bahía Blanca,Cabildo,1
2018,10,16,6056,Bahía Blanca,Cabildo,1
2018,11,16,6056,Bahía Blanca,Cabildo,1
2018,12,16,6056,Bahía Blanca,Cabildo,2
2018,2,11,6063,Balcarce,Balcarce,32
2018,3,11,6063,Balcarce,Balcarce,25
2018,4,11,6063,Balcarce,Balcarce,34
2018,5,11,6063,Balcarce,Balcarce,46
2018,6,11,6063,Balcarce,Balcarce,44
2018,7,11,6063,Balcarce,Balcarce,46
2018,8,11,6063,Balcarce,Balcarce,46
2018,9,11,6063,Balcarce,Balcarce,35
2018,10,11,6063,Balcarce,Balcarce,25
2018,11,11,6063,Balcarce,Balcarce,28
2018,12,11,6063,Balcarce,Balcarce,34
2018,1,1,6070,Baradero,Baradero,16
2018,2,1,6070,Baradero,Baradero,18
2018,3,1,6070,Baradero,Baradero,20
2018,4,1,6070,Baradero,Baradero,32
2018,5,1,6070,Baradero,Baradero,33
2018,6,1,6070,Baradero,Baradero,20
2018,7,1,6070,Baradero,Baradero,41
2018,8,1,6070,Baradero,Baradero,29
2018,9,1,6070,Baradero,Baradero,31
2018,10,1,6070,Baradero,Baradero,30
2018,11,1,6070,Baradero,Baradero,27
2018,12,1,6070,Baradero,Baradero,18
2018,1,9,6084,Benito Juárez,Benito Juárez,15
2018,2,9,6084,Benito Juárez,Benito Juárez,7
2018,3,9,6084,Benito Juárez,Benito Juárez,10
2018,4,9,6084,Benito Juárez,Benito Juárez,19
2018,5,9,6084,Benito Juárez,Benito Juárez,20
2018,6,9,6084,Benito Juárez,Benito Juárez,18
2018,7,9,6084,Benito Juárez,Benito Juárez,24
2018,8,9,6084,Benito Juárez,Benito Juárez,27
2018,9,9,6084,Benito Juárez,Benito Juárez,17
2018,10,9,6084,Benito Juárez,Benito Juárez,12
2018,11,9,6084,Benito Juárez,Benito Juárez,18
2018,12,9,6084,Benito Juárez,Benito Juárez,12
2018,1,7,6091,Berazategui,Berazategui,167
2018,2,7,6091,Berazategui,Berazategui,111
2018,3,7,6091,Berazategui,Berazategui,56
2018,4,7,6091,Berazategui,Berazategui,122
2018,5,7,6091,Berazategui,Berazategui,148
2018,6,7,6091,Berazategui,Berazategui,148
2018,7,7,6091,Berazategui,Berazategui,184
2018,8,7,6091,Berazategui,Berazategui,157
2018,9,7,6091,Berazategui,Berazategui,166
2018,10,7,6091,Berazategui,Berazategui,131
2018,11,7,6091,Berazategui,Berazategui,151
2018,12,7,6091,Berazategui,Berazategui,130
2018,1,6,6098,Berisso,Berisso,39
2018,2,6,6098,Berisso,Berisso,32
2018,3,6,6098,Berisso,Berisso,33
