anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,1,9 de Julio,6588,18,21,39
2020,2,9 de Julio,6588,21,16,37
2020,3,9 de Julio,6588,12,19,31
2020,4,9 de Julio,6588,17,8,25
2020,5,9 de Julio,6588,20,22,42
2020,6,9 de Julio,6588,17,24,41
2020,7,9 de Julio,6588,22,24,46
2020,8,9 de Julio,6588,24,27,51
2020,9,9 de Julio,6588,17,28,45
2020,10,9 de Julio,6588,19,30,49
2020,11,9 de Julio,6588,24,26,50
2020,12,9 de Julio,6588,33,29,62
2020,1,Adolfo Alsina,6007,9,15,24
2020,2,Adolfo Alsina,6007,4,8,12
2020,3,Adolfo Alsina,6007,4,7,11
2020,4,Adolfo Alsina,6007,7,3,10
2020,5,Adolfo Alsina,6007,3,9,12
2020,6,Adolfo Alsina,6007,8,5,13
2020,7,Adolfo Alsina,6007,5,9,14
2020,8,Adolfo Alsina,6007,7,11,18
2020,9,Adolfo Alsina,6007,11,7,18
2020,10,Adolfo Alsina,6007,10,6,16
2020,11,Adolfo Alsina,6007,4,7,11
2020,12,Adolfo Alsina,6007,12,6,18
2020,1,Adolfo Gonzales Chaves,6014,3,3,6
2020,2,Adolfo Gonzales Chaves,6014,4,0,4
2020,3,Adolfo Gonzales Chaves,6014,3,4,7
2020,4,Adolfo Gonzales Chaves,6014,4,4,8
2020,5,Adolfo Gonzales Chaves,6014,6,5,11
2020,6,Adolfo Gonzales Chaves,6014,6,2,8
2020,7,Adolfo Gonzales Chaves,6014,4,5,9
2020,8,Adolfo Gonzales Chaves,6014,2,3,5
2020,9,Adolfo Gonzales Chaves,6014,3,5,8
2020,10,Adolfo Gonzales Chaves,6014,6,5,11
2020,11,Adolfo Gonzales Chaves,6014,2,4,6
2020,12,Adolfo Gonzales Chaves,6014,5,3,8
2020,1,Alberti,6021,5,6,11
2020,2,Alberti,6021,2,1,3
2020,3,Alberti,6021,2,4,6
2020,4,Alberti,6021,2,2,4
