Jurisdiccion_cod;Jurisdiccion_nombre;Año;Sexo;Edad;n;m;a;q;l;d;L;T;P;e
0;Argentina;2019;A;0;1;0,008257884;0,070165717;0,008194959;100000;819,4958871;99238,00463;7722245,174;0,991185464;77,22245174
0;Argentina;2019;A;1;4;0,000381395;1,570323959;0,001524169;99180,50411;151,167824;396354,7276;7623007,169;0,998719095;76,8599357
0;Argentina;2019;A;5;5;0,000145418;2,377495615;0,000726812;99029,33629;71,97572469;494957,9248;7226652,441;0,99916475;72,97486495
0;Argentina;2019;A;10;5;0,000220145;2,774513316;0,001100185;98957,36056;108,8713773;494544,511;6731694,517;0,998068507;68,02621329
0;Argentina;2019;A;15;5;0,000591597;2,763251171;0,002954076;98848,48919;292,0059584;493589,3019;6237150,006;0,996284765;63,09808128
0;Argentina;2019;A;20;5;0,000870826;2,601975517;0,004345058;98556,48323;428,233593;491755,5015;5743560,704;0,995382355;58,27684304
0;Argentina;2019;A;25;5;0,000967718;2,55849682;0,004827184;98128,24964;473,6831098;489484,7494;5251805,202;0,994943739;53,51980925
0;Argentina;2019;A;30;5;0,00107292;2,582790751;0,005350721;97654,56653;522,5223161;487009,7869;4762320,453;0,994012445;48,76700212
0;Argentina;2019;A;35;5;0,001361902;2,624055232;0,006787544;97132,04421;659,2880704;484093,789;4275310,666;0,991937808;44,01545031
0;Argentina;2019;A;40;5;0,001930382;2,655920101;0,00960843;96472,75614;926,9517245;480190,9318;3791216,877;0,988103586;39,29831621
0;Argentina;2019;A;45;5;0,002946135;2,674588574;0,014630444;95545,80441;1397,877538;474478,3817;3311025,945;0,981524383;34,65380783
0;Argentina;2019;A;50;5;0,004655638;2,681226716;0,023029576;94147,92688;2168,186863;465712,1006;2836547,563;0,970729637;30,12862479
0;Argentina;2019;A;55;5;0,007454725;2,680164608;0,036639985;91979,74001;3370,13631;452080,5386;2370835,463;0,953478524;25,77562692
0;Argentina;2019;A;60;5;0,011959953;2,672517311;0,058180227;88609,6037;5155,326826;431049,0846;1918754,924;0,926585972;21,65402895
0;Argentina;2019;A;65;5;0,019096245;2,65739157;0,091392767;83454,27688;7627,117297;399404,0351;1487705,84;0,885785274;17,82659793
0;Argentina;2019;A;70;5;0,030267965;2,632735783;0,141221018;75827,15958;10708,3887;353786,2125;1088301,804;0,825498902;14,35240105
0;Argentina;2019;A;75;5;0,047720365;2,593143924;0,214020298;65118,77088;13936,73876;292050,13;734515,592;0,739430191;11,27962924
0;Argentina;2019;A;80;5;0,074887944;2,529110604;0,315972268;51182,03212;16172,10275;215950,6834;442465,4619;0,62345553;8,644937366
0;Argentina;2019;A;85;5;0,116680848;2,427400475;0,448712746;35009,92937;15709,40156;134635,6479;226514,7785;0,48359021;6,470015295
0;Argentina;2019;A;90;5;0,177380949;2,281656723;0,598377634;19300,52781;11549,00417;65108,48123;91879,13064;0,330788229;4,76044653
0;Argentina;2019;A;95;5;0,261990827;1,948087803;0,727924977;7751,523644;5642,52767;21537,1192;26770,64942;0,195495079;3,453598369
